,algorithm,dataset,datasize,clscnt,fcnt,runtime_ms_iter,runtime_ms,iterno,numlocal,vmi,ami,ari
1,PCM,iris,10000,3,2,7.031087080637614,1265.5956745147705,180,,0.6123,0.6074,0.5713
2,PCM,wine,10000,3,2,13.764622665586925,1156.2283039093018,84,,0.8606,0.8591,0.8808
3,PCM,breast,10000,2,2,15.051238033749641,1640.584945678711,109,,0.6088,0.6083,0.6692
4,PCM,ionosphere,10000,2,2,12.66409723382247,1203.0892372131348,95,,0.0,-0.0025,-0.0022
5,FCM,iris,10000,3,2,3.8460364708533654,749.9771118164062,195,,0.5484,0.5427,0.4999
6,FCM,wine,10000,3,2,3.906124404498509,874.971866607666,224,,0.5645,0.5598,0.4835
7,FCM,breast,10000,2,2,5.162298941927334,1171.8418598175049,227,,0.4823,0.4817,0.599
8,FCM,ionosphere,10000,2,2,4.759199317844435,828.1006813049316,174,,0.1258,0.124,0.159
9,SPCM,iris,10000,3,2,178.12013626098633,1781.2013626098633,10,,0.0,0.0,0.0
10,SPCM,wine,10000,3,2,223.4300136566162,2234.300136566162,10,,0.0,-0.0,0.0
11,SPCM,breast,10000,2,2,412.48886585235596,4124.88865852356,10,,0.0,0.0,0.0
12,SPCM,ionosphere,10000,2,2,262.490439414978,2624.9043941497803,10,,0.0,-0.0,0.0
