,algorithm,dataset,datasize,clscnt,fcnt,runtime,iterno,numlocal,acc,ars,homo,comp,vmsr
1,PCM,F2C100D100K,10000,10,2,43.16138673,1000,,0.1,4.73E-05,0.004031737,0.30939249,0.00795975
2,PCM,F4C100D100K,10000,10,4,14.67716074,1000,,0.1,0,0,1,0
3,PCM,F6C100D100K,10000,10,6,20.44192004,1000,,0.1,0,0,1,0
4,PCM,F8C100D100K,10000,10,8,7.176999092,1000,,0.1,0,0,1,0
5,PCM,F10C100D100K,10000,10,10,8.381138563,1000,,0.1,0,0,1,0
6,PCM,C2D100K,10000,2,2,0.65432024,1000,,1,1,1,1,1
7,PCM,C5D100K,10000,5,2,7.986562967,1000,,0.2002,0.000103066,0.005335282,0.247077012,0.010445018
8,PCM,C10D100K,10000,10,2,31.49319577,1000,,0.0946,0.169822008,0.361829638,0.84297263,0.506327868
9,PCM,C20D100K,10000,20,2,177.6288126,1000,,0.05,4.98E-05,0.004154904,0.397869137,0.008223926
10,PCM,C30D100K,10000,30,2,959.4826963,1000,,0.0334,-1.51E-08,0.000200053,0.333204631,0.000399866
11,PCM,C40D100K,10000,40,2,1996.618646,1000,,0.025,9.48E-06,0.002021747,0.414851628,0.004023884
12,PCM,C50D100K,10000,50,2,955.2920039,1000,,0.02,4.40E-07,0.000501579,0.395091618,0.001001886
