,algorithm,dataset,datasize,clscnt,fcnt,runtime,iterno,numlocal,vmi,ami,ari
1,PCM,iris,10000,3,2,0.43993663787841797,1000,,0.6523,0.6479,0.6332
2,PCM,wine,10000,3,2,0.14111971855163574,1000,,0.7618,0.7592,0.7574
3,PCM,breast,10000,2,2,0.26561427116394043,1000,,0.5745,0.5739,0.6284
4,PCM,ionosphere,10000,2,2,0.24999332427978516,1000,,0.5728,0.5722,0.6896
5,FCM,iris,10000,3,2,0.10936832427978516,1000,,0.5959,0.5908,0.5937
6,FCM,wine,10000,3,2,0.14062023162841797,1000,,0.6387,0.6349,0.6246
7,FCM,breast,10000,2,2,0.18749284744262695,1000,,0.6874,0.687,0.793
8,FCM,ionosphere,10000,2,2,0.18749070167541504,1000,,0.6199,0.6194,0.7372
9,SPCM,iris,10000,3,2,2.243709087371826,100,,0.671,0.6669,0.6575
10,SPCM,wine,10000,3,2,1.8257110118865967,100,,0.8344,0.8327,0.864
11,SPCM,breast,10000,2,2,1.8016912937164307,100,,0.4319,0.4312,0.4427
12,SPCM,ionosphere,10000,2,2,1.7186846733093262,100,,0.4319,0.4312,0.4427
13,PFCM,iris,10000,3,2,0.0,100,,0.7004,0.6967,0.6765
14,PFCM,wine,10000,3,2,0.015624523162841797,100,,0.4759,0.4684,0.3748
15,PFCM,breast,10000,2,2,0.015625,100,,0.6346,0.6341,0.7494
16,PFCM,ionosphere,10000,2,2,0.015628337860107422,100,,0.5769,0.5763,0.6954
17,WPCM,iris,10000,3,2,0.18748807907104492,1000,,0.6363,0.6317,0.6107
18,WPCM,wine,10000,3,2,0.20311450958251953,1000,,0.702,0.6988,0.6686
19,WPCM,breast,10000,2,2,0.26561427116394043,1000,,0.5186,0.518,0.616
20,WPCM,ionosphere,10000,2,2,0.24998974800109863,1000,,0.6264,0.6259,0.6992
