,algorithm,dataset,datasize,clscnt,fcnt,runtime_ms_iter,runtime_ms,iterno,numlocal,m,vmi,ami,ari,selh,maxdist,avgdist,sumdist
1,PCM,wine,10000,3,2,22.65547513961792,453.1095027923584,20,5,2.1,0.8469,0.8452,0.8642,0.2752,2.465,1.9426,5.8277
2,PCM,breast,10000,2,2,98.43407869338989,1968.6815738677979,20,5,2.1,0.5175,0.5168,0.6106,0.2912,3.0526,2.262,4.524
3,PCM,ionosphere,10000,2,2,106.790292263031,2135.80584526062,20,5,2.1,0.0165,0.0144,0.039,0.2463,3.2403,2.075,4.15
4,PCM,iris,10000,3,2,7.07518829489654,374.9849796295166,53,5,2.1,0.6305,0.6259,0.5997,0.4605,0.8891,0.7297,2.1892
5,FCM,wine,10000,3,2,3.314260280493534,218.74117851257324,66,5,2.1,0.6835,0.6802,0.6589,0.2638,2.1695,1.9911,5.9733
6,FCM,breast,10000,2,2,0.7531252044330085,3041.1195755004883,4038,5,2.1,0.381,0.3802,0.4851,0.2908,3.2511,2.7713,5.5426
7,FCM,ionosphere,10000,2,2,0.6607606493193527,2031.1782360076904,3074,5,2.1,0.1258,0.124,0.159,0.2619,2.3233,2.2075,4.415
8,FCM,iris,10000,3,2,1.3867609599638266,234.36260223388672,169,5,2.1,0.6649,0.6602,0.5522,0.2822,0.66,0.4288,1.2863
9,SPCM,wine,10000,3,2,38.27981948852539,765.5963897705078,20,5,2.1,0.6349,0.631,0.5722,0.2371,1.9502,1.7917,5.375
10,SPCM,breast,10000,2,2,135.4583501815796,2709.167003631592,20,5,2.1,0.4775,0.4768,0.5414,0.2662,2.7081,2.0794,4.1589
11,SPCM,ionosphere,10000,2,2,217.40652322769165,4348.130464553833,20,5,2.1,0.0012,-0.0011,0.0072,0.2178,3.4131,2.0197,4.0394
12,SPCM,iris,10000,3,2,46.87340363212254,1078.0882835388184,23,5,2.1,0.7004,0.6967,0.6765,0.4508,0.7668,0.7024,2.1073
13,PFCM,wine,10000,3,2,1.5628814697265625,15.628814697265625,10,5,2.1,0.4735,0.466,0.3715,0.0938,2.8637,2.2232,6.6695
14,PFCM,breast,10000,2,2,5.209048589070638,15.627145767211914,3,5,2.1,0.5814,0.5809,0.7012,0.3197,3.8513,3.1155,6.231
15,PFCM,ionosphere,10000,2,2,0.0,0.0,3,5,2.1,0.1231,0.1212,0.1545,0.2597,2.748,2.6344,5.2688
16,PFCM,iris,10000,3,2,0.9765326976776123,15.624523162841797,16,5,2.1,0.7004,0.6967,0.6765,0.4508,0.6723,0.535,1.6051
17,WPCM,wine,10000,3,2,42.185938358306885,843.7187671661377,20,5,2.1,0.875,0.8736,0.9133,0.2819,2.797,1.9985,5.9956
18,WPCM,breast,10000,2,2,131.75197839736938,2635.0395679473877,20,5,2.1,0.5161,0.5155,0.5943,0.2799,3.9328,2.5239,5.0477
19,WPCM,ionosphere,10000,2,2,135.9328269958496,2718.656539916992,20,5,2.1,0.2338,0.2321,0.1552,0.1654,2.7241,1.9541,3.9082
20,WPCM,iris,10000,3,2,19.530487060546875,390.6097412109375,20,5,2.1,0.6523,0.6479,0.6332,0.4565,0.8694,0.7486,2.2457
21,HCM,wine,10000,3,2,0.24371817111968994,4874.363422393799,20000,5,2.1,0.8926,0.8914,0.9149,0.2859,0.0,0.0,0.0
22,HCM,breast,10000,2,2,0.3472280437502323,3831.6614627838135,11035,5,2.1,0.5612,0.5606,0.6829,0.34,0.0,0.0,0.0
23,HCM,ionosphere,10000,2,2,0.33792183611329035,5077.951431274414,15027,5,2.1,0.1342,0.1323,0.1729,0.2662,0.0,0.0,0.0
24,HCM,iris,10000,3,2,0.22235333095820853,3781.118392944336,17005,5,2.1,0.6803,0.6763,0.6521,0.4567,0.0,0.0,0.0
